Training samples 50000
Device : cuda
Total number of trainable parameters : 24742081
image_size : 224
patch_size : 16
vision_width : 192
vision_layers : 12
vision_heads : 3
vision_layer_norm_eps : 1e-06
vocab_size : 49408
text_width : 256
text_layers : 8
text_heads : 4
max_length : 77
text_layer_norm_eps : 1e-06
shared_dim : 512
batch_size : 256
learning_rate : 5e-05
epochs : 5
loss_type : contrastive
Optimizer : AdamW
Batch : 0 / 196 | Time 12933 ms | Train Loss : 5.5481 | Grad Norm : 0.3546
Batch : 1 / 196 | Time 711 ms | Train Loss : 5.5716 | Grad Norm : 1.2875
Batch : 2 / 196 | Time 711 ms | Train Loss : 5.5483 | Grad Norm : 0.2169
Batch : 3 / 196 | Time 712 ms | Train Loss : 5.5465 | Grad Norm : 0.1190
Batch : 4 / 196 | Time 719 ms | Train Loss : 5.5465 | Grad Norm : 0.1024
Batch : 5 / 196 | Time 714 ms | Train Loss : 5.5461 | Grad Norm : 0.0641
Batch : 6 / 196 | Time 720 ms | Train Loss : 5.5457 | Grad Norm : 0.0365
Batch : 7 / 196 | Time 717 ms | Train Loss : 5.5456 | Grad Norm : 0.0327
Batch : 8 / 196 | Time 719 ms | Train Loss : 5.5456 | Grad Norm : 0.0391
Batch : 9 / 196 | Time 720 ms | Train Loss : 5.5455 | Grad Norm : 0.0318
Batch : 10 / 196 | Time 718 ms | Train Loss : 5.5454 | Grad Norm : 0.0266
Batch : 11 / 196 | Time 708 ms | Train Loss : 5.5454 | Grad Norm : 0.0278
Batch : 12 / 196 | Time 716 ms | Train Loss : 5.5452 | Grad Norm : 0.0178
Batch : 13 / 196 | Time 721 ms | Train Loss : 5.5452 | Grad Norm : 0.0147
Batch : 14 / 196 | Time 722 ms | Train Loss : 5.5452 | Grad Norm : 0.0125
Batch : 15 / 196 | Time 723 ms | Train Loss : 5.5451 | Grad Norm : 0.0093
Batch : 16 / 196 | Time 729 ms | Train Loss : 5.5451 | Grad Norm : 0.0087
Batch : 17 / 196 | Time 722 ms | Train Loss : 5.5451 | Grad Norm : 0.0066
Batch : 18 / 196 | Time 725 ms | Train Loss : 5.5451 | Grad Norm : 0.0075
Batch : 19 / 196 | Time 731 ms | Train Loss : 5.5451 | Grad Norm : 0.0084
Batch : 20 / 196 | Time 726 ms | Train Loss : 5.5451 | Grad Norm : 0.0074
Batch : 21 / 196 | Time 725 ms | Train Loss : 5.5451 | Grad Norm : 0.0088
Batch : 22 / 196 | Time 727 ms | Train Loss : 5.5451 | Grad Norm : 0.0076
Batch : 23 / 196 | Time 717 ms | Train Loss : 5.5451 | Grad Norm : 0.0092
Batch : 24 / 196 | Time 725 ms | Train Loss : 5.5451 | Grad Norm : 0.0113
Batch : 25 / 196 | Time 724 ms | Train Loss : 5.5451 | Grad Norm : 0.0089
Batch : 26 / 196 | Time 724 ms | Train Loss : 5.5450 | Grad Norm : 0.0068
Batch : 27 / 196 | Time 723 ms | Train Loss : 5.5449 | Grad Norm : 0.0064
Batch : 28 / 196 | Time 732 ms | Train Loss : 5.5449 | Grad Norm : 0.0065
Batch : 29 / 196 | Time 727 ms | Train Loss : 5.5449 | Grad Norm : 0.0061
Batch : 30 / 196 | Time 728 ms | Train Loss : 5.5449 | Grad Norm : 0.0067
Batch : 31 / 196 | Time 727 ms | Train Loss : 5.5449 | Grad Norm : 0.0055
Batch : 32 / 196 | Time 768 ms | Train Loss : 5.5448 | Grad Norm : 0.0068
Batch : 33 / 196 | Time 774 ms | Train Loss : 5.5447 | Grad Norm : 0.0072
Batch : 34 / 196 | Time 704 ms | Train Loss : 5.5447 | Grad Norm : 0.0077
Batch : 35 / 196 | Time 703 ms | Train Loss : 5.5447 | Grad Norm : 0.0088
Batch : 36 / 196 | Time 703 ms | Train Loss : 5.5445 | Grad Norm : 0.0115
Batch : 37 / 196 | Time 703 ms | Train Loss : 5.5445 | Grad Norm : 0.0114
Batch : 38 / 196 | Time 704 ms | Train Loss : 5.5443 | Grad Norm : 0.0154
Batch : 39 / 196 | Time 703 ms | Train Loss : 5.5444 | Grad Norm : 0.0119
Batch : 40 / 196 | Time 704 ms | Train Loss : 5.5440 | Grad Norm : 0.0176
Batch : 41 / 196 | Time 706 ms | Train Loss : 5.5439 | Grad Norm : 0.0196
Batch : 42 / 196 | Time 733 ms | Train Loss : 5.5438 | Grad Norm : 0.0208
Batch : 43 / 196 | Time 730 ms | Train Loss : 5.5432 | Grad Norm : 0.0310
Batch : 44 / 196 | Time 729 ms | Train Loss : 5.5424 | Grad Norm : 0.0395
Batch : 45 / 196 | Time 729 ms | Train Loss : 5.5419 | Grad Norm : 0.0446
Batch : 46 / 196 | Time 729 ms | Train Loss : 5.5415 | Grad Norm : 0.0486
Batch : 47 / 196 | Time 730 ms | Train Loss : 5.5398 | Grad Norm : 0.0685
Batch : 48 / 196 | Time 709 ms | Train Loss : 5.5357 | Grad Norm : 0.1176
Batch : 49 / 196 | Time 732 ms | Train Loss : 5.5317 | Grad Norm : 0.1616
